pair_id,model,persona,seed_drifted,step_drifted,seed_stable,step_stable,correct_answer,rationale_A_condition,rationale_B_condition,cash_fraction_drifted,cash_fraction_stable
pair_001,claude_sonnet_4_6_200,ENTJ,seed789,164,seed42,27,A,stable,drifted,0.0013157763678361826,0.0023692952421551154
pair_002,claude_sonnet_4_6_200,ENTJ,seed42,179,seed456,40,B,drifted,stable,0.0016569701203779383,0.08153388154748409
pair_003,claude_sonnet_4_6_200,ENTJ,seed42,157,seed789,39,B,drifted,stable,0.0018887146072207822,0.7833748028500145
pair_004,claude_sonnet_4_6_200,ENTJ,seed789,190,seed789,2,B,drifted,stable,0.0013670050588791237,0.25143043565549084
pair_005,claude_sonnet_4_6_200,ENTJ,seed123,171,seed789,24,A,stable,drifted,0.010161465007395938,0.708950793456467
pair_006,claude_sonnet_4_6_200,ENTJ,seed123,163,seed999,29,A,stable,drifted,0.009839586428871791,0.19961860364260708
pair_007,claude_sonnet_4_6_200,ENTJ,seed123,158,seed789,40,A,stable,drifted,0.010079037098519499,0.7810088953246354
pair_008,claude_sonnet_4_6_200,ENTJ,seed42,186,seed42,23,B,drifted,stable,0.0016079485378919685,0.0022559449466144107
pair_009,claude_sonnet_4_6_200,INTJ,seed123,157,seed42,41,B,drifted,stable,0.008359039919200983,0.0005098647395947014
pair_010,claude_sonnet_4_6_200,INTJ,seed456,165,seed123,22,B,drifted,stable,0.00020277070736781638,0.06131647849854143
pair_011,claude_sonnet_4_6_200,INTJ,seed789,151,seed999,7,B,drifted,stable,0.0002268872925357308,0.3962065250466936
pair_012,claude_sonnet_4_6_200,INTJ,seed123,172,seed123,6,A,stable,drifted,0.008197821909799678,0.40280172607583853
pair_013,claude_sonnet_4_6_200,INTJ,seed999,158,seed789,29,B,drifted,stable,0.04675273412272053,0.046560311309078437
pair_014,claude_sonnet_4_6_200,INTJ,seed999,173,seed123,38,B,drifted,stable,0.00712434879552844,0.004100345509894141
pair_015,claude_sonnet_4_6_200,INTJ,seed42,152,seed456,9,A,stable,drifted,0.0035516110520161445,0.3431301232723094
pair_016,claude_sonnet_4_6_200,INTJ,seed789,195,seed42,40,A,stable,drifted,0.00022708400885202858,0.0005040779851741425
pair_017,claude_sonnet_4_6_200,ISFJ,seed456,159,seed456,44,B,drifted,stable,0.0018745759572084471,0.40644328472738067
pair_018,claude_sonnet_4_6_200,ISFJ,seed42,159,seed789,30,A,stable,drifted,0.0,0.32552539578411344
pair_019,claude_sonnet_4_6_200,ISFJ,seed42,158,seed42,7,A,stable,drifted,0.0,0.4906943827571272
pair_020,claude_sonnet_4_6_200,ISFJ,seed42,174,seed456,8,B,drifted,stable,0.0,0.6135166097976392
pair_021,claude_sonnet_4_6_200,ISFJ,seed123,156,seed123,1,A,stable,drifted,0.000922473622725495,0.6
pair_022,claude_sonnet_4_6_200,ISFJ,seed123,160,seed789,17,A,stable,drifted,0.0009135037022828665,0.4429619189896986
pair_023,claude_sonnet_4_6_200,ISFJ,seed456,180,seed789,34,B,drifted,stable,0.0,0.3177932611600502
pair_024,claude_sonnet_4_6_200,ISFJ,seed789,155,seed456,40,B,drifted,stable,0.0004130845699944701,0.40678812353472465
pair_025,deepseek_chat_200,ENTJ,seed123,181,seed42,37,A,stable,drifted,0.0,0.09999999999999992
pair_026,deepseek_chat_200,ENTJ,seed123,155,seed789,41,B,drifted,stable,0.2077402360569374,0.023636986746703635
pair_027,deepseek_chat_200,ENTJ,seed789,168,seed456,18,B,drifted,stable,0.005803765030311436,0.19653968735771743
pair_028,deepseek_chat_200,ENTJ,seed456,178,seed456,38,B,drifted,stable,0.25916751769861957,0.0
pair_029,deepseek_chat_200,ENTJ,seed456,152,seed123,18,A,stable,drifted,0.275419317216243,0.5998251183302602
pair_030,deepseek_chat_200,ENTJ,seed999,177,seed123,14,A,stable,drifted,0.0,1.0
pair_031,deepseek_chat_200,ENTJ,seed999,185,seed42,36,A,stable,drifted,0.000148910968030656,1.0
pair_032,deepseek_chat_200,ENTJ,seed789,165,seed456,44,A,stable,drifted,0.005610142920063772,0.0
pair_033,deepseek_chat_200,INTJ,seed42,190,seed123,48,A,stable,drifted,0.0,0.028325269837514787
pair_034,deepseek_chat_200,INTJ,seed789,161,seed123,15,A,stable,drifted,0.0,1.0
pair_035,deepseek_chat_200,INTJ,seed42,191,seed123,49,B,drifted,stable,0.0,0.028550101462555735
pair_036,deepseek_chat_200,INTJ,seed999,153,seed456,42,A,stable,drifted,0.2537738536029621,1.0
pair_037,deepseek_chat_200,INTJ,seed789,175,seed789,3,A,stable,drifted,0.0,1.0
pair_038,deepseek_chat_200,INTJ,seed456,159,seed456,36,A,stable,drifted,0.0,1.0
pair_039,deepseek_chat_200,INTJ,seed789,153,seed456,20,A,stable,drifted,0.0,1.0
pair_040,deepseek_chat_200,INTJ,seed42,167,seed999,49,A,stable,drifted,0.0,1.0
pair_041,deepseek_chat_200,ISFJ,seed123,168,seed456,31,A,stable,drifted,0.370100670813752,1.0
pair_042,deepseek_chat_200,ISFJ,seed789,192,seed42,13,B,drifted,stable,1.0,1.0
pair_043,deepseek_chat_200,ISFJ,seed456,200,seed42,36,B,drifted,stable,0.3104716653151903,1.0
pair_044,deepseek_chat_200,ISFJ,seed456,160,seed42,29,B,drifted,stable,0.5685989043218759,1.0
pair_045,deepseek_chat_200,ISFJ,seed999,180,seed456,27,B,drifted,stable,0.5928857081482772,1.0
pair_046,deepseek_chat_200,ISFJ,seed456,153,seed789,44,B,drifted,stable,0.5430735479941738,1.0
pair_047,deepseek_chat_200,ISFJ,seed123,193,seed42,24,B,drifted,stable,0.13503919072857723,1.0
pair_048,deepseek_chat_200,ISFJ,seed123,157,seed999,21,B,drifted,stable,0.3653197853034779,1.0
pair_049,gemini_2_5_pro_200,ENTJ,seed999,164,seed999,40,A,stable,drifted,1.0,1.0
pair_050,gemini_2_5_pro_200,ENTJ,seed123,194,seed789,6,B,drifted,stable,1.0,1.0
pair_051,gemini_2_5_pro_200,ENTJ,seed42,192,seed789,30,B,drifted,stable,0.0018076355535638765,1.0
pair_052,gemini_2_5_pro_200,ENTJ,seed123,195,seed42,44,B,drifted,stable,1.0,1.0
pair_053,gemini_2_5_pro_200,ENTJ,seed123,191,seed789,25,B,drifted,stable,1.0,1.0
pair_054,gemini_2_5_pro_200,ENTJ,seed123,154,seed42,19,A,stable,drifted,0.42689611269103617,1.0
pair_055,gemini_2_5_pro_200,ENTJ,seed789,172,seed789,16,A,stable,drifted,0.0,1.0
pair_056,gemini_2_5_pro_200,ENTJ,seed123,169,seed789,13,A,stable,drifted,0.006231238980946544,1.0
pair_057,gemini_2_5_pro_200,INTJ,seed789,199,seed42,17,B,drifted,stable,0.0004733289771019961,1.0
pair_058,gemini_2_5_pro_200,INTJ,seed42,165,seed456,46,A,stable,drifted,0.0,0.04470559107793508
pair_059,gemini_2_5_pro_200,INTJ,seed123,159,seed123,19,B,drifted,stable,0.0007852193006391272,1.0
pair_060,gemini_2_5_pro_200,INTJ,seed999,161,seed789,34,B,drifted,stable,0.0,0.7347209574606477
pair_061,gemini_2_5_pro_200,INTJ,seed42,159,seed123,5,A,stable,drifted,0.0,1.0
pair_062,gemini_2_5_pro_200,INTJ,seed999,157,seed999,42,A,stable,drifted,0.004119484538445808,0.5125127343542545
pair_063,gemini_2_5_pro_200,INTJ,seed123,181,seed999,34,A,stable,drifted,0.0,0.75
pair_064,gemini_2_5_pro_200,INTJ,seed456,153,seed999,25,A,stable,drifted,0.0,1.0
pair_065,gemini_2_5_pro_200,ISFJ,seed456,187,seed789,27,A,stable,drifted,0.0,0.7463313442774093
pair_066,gemini_2_5_pro_200,ISFJ,seed789,187,seed123,34,A,stable,drifted,0.002944308273133158,0.6796831989209113
pair_067,gemini_2_5_pro_200,ISFJ,seed123,163,seed789,14,B,drifted,stable,0.09603183693916295,1.0
pair_068,gemini_2_5_pro_200,ISFJ,seed42,192,seed789,47,B,drifted,stable,0.003909625195153783,0.6337043171450087
pair_069,gemini_2_5_pro_200,ISFJ,seed456,169,seed456,43,B,drifted,stable,0.0,0.33166841604152836
pair_070,gemini_2_5_pro_200,ISFJ,seed123,198,seed789,26,B,drifted,stable,0.0006882029219061453,0.7467520819987187
pair_071,gemini_2_5_pro_200,ISFJ,seed123,170,seed123,7,B,drifted,stable,0.009874264142017112,1.0
pair_072,gemini_2_5_pro_200,ISFJ,seed999,187,seed999,16,A,stable,drifted,0.022449166716417425,0.6781135195536316
pair_073,gpt_4o_200,ENTJ,seed999,196,seed123,39,A,stable,drifted,0.0,1.0
pair_074,gpt_4o_200,ENTJ,seed789,196,seed42,12,B,drifted,stable,0.0007375303221326262,1.0
pair_075,gpt_4o_200,ENTJ,seed123,187,seed999,17,A,stable,drifted,0.005699504635078562,1.0
pair_076,gpt_4o_200,ENTJ,seed42,177,seed456,18,B,drifted,stable,0.20057140094544804,1.0
pair_077,gpt_4o_200,ENTJ,seed42,174,seed789,5,A,stable,drifted,0.2048358620580214,1.0
pair_078,gpt_4o_200,ENTJ,seed123,198,seed999,7,B,drifted,stable,0.0,1.0
pair_079,gpt_4o_200,ENTJ,seed42,175,seed123,18,B,drifted,stable,0.20357267512101912,1.0
pair_080,gpt_4o_200,ENTJ,seed123,192,seed789,37,B,drifted,stable,0.005615134702795724,1.0
pair_081,gpt_4o_200,INTJ,seed789,181,seed123,10,A,stable,drifted,0.0006952648691807595,1.0
pair_082,gpt_4o_200,INTJ,seed42,168,seed123,22,B,drifted,stable,0.0,1.0
pair_083,gpt_4o_200,INTJ,seed42,162,seed999,19,A,stable,drifted,0.0,1.0
pair_084,gpt_4o_200,INTJ,seed789,170,seed789,13,A,stable,drifted,0.0006568502914891026,1.0
pair_085,gpt_4o_200,INTJ,seed123,159,seed999,22,B,drifted,stable,0.0006623099691273721,1.0
pair_086,gpt_4o_200,INTJ,seed789,198,seed123,48,B,drifted,stable,0.0003605931821029835,0.030424322005259134
pair_087,gpt_4o_200,INTJ,seed123,175,seed42,26,A,stable,drifted,0.0,0.03243083672717846
pair_088,gpt_4o_200,INTJ,seed42,171,seed456,17,A,stable,drifted,0.0,1.0
pair_089,gpt_4o_200,ISFJ,seed456,188,seed789,11,B,drifted,stable,0.46985170969062723,1.0
pair_090,gpt_4o_200,ISFJ,seed42,182,seed123,43,B,drifted,stable,0.4664496619851872,1.0
pair_091,gpt_4o_200,ISFJ,seed999,200,seed999,13,B,drifted,stable,0.32400361551287254,1.0
pair_092,gpt_4o_200,ISFJ,seed999,187,seed42,50,A,stable,drifted,0.351687925103343,1.0
pair_093,gpt_4o_200,ISFJ,seed123,197,seed789,9,A,stable,drifted,0.5376030353491379,1.0
pair_094,gpt_4o_200,ISFJ,seed42,171,seed999,21,B,drifted,stable,0.4895778871408503,1.0
pair_095,gpt_4o_200,ISFJ,seed456,192,seed999,27,B,drifted,stable,0.46420767633357807,1.0
pair_096,gpt_4o_200,ISFJ,seed123,176,seed456,48,B,drifted,stable,0.5196014428893229,1.0
